# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
3.17576 0.350797	0.351401	0.594013	0.593832	1.00266	1.0094	
3.18592 0.346218	0.346801	0.58513	0.584937	0.981498	0.988093	
3.19609 0.348971	0.349546	0.57192	0.571719	0.952142	0.958537	
3.20625 0.337617	0.338161	0.567577	0.567363	0.94461	0.950953	
3.21641 0.339801	0.340336	0.544987	0.544768	0.919153	0.925321	
3.22657 0.332977	0.333489	0.536273	0.536043	0.905656	0.911729	
3.23674 0.324074	0.32456	0.531519	0.531277	0.879873	0.885767	
3.2469 0.32346	0.323932	0.524246	0.523994	0.867657	0.873463	
3.25706 0.318023	0.318475	0.520531	0.520266	0.853614	0.859319	
3.26722 0.320674	0.321117	0.517075	0.516797	0.832593	0.83815	
3.27739 0.318467	0.318894	0.499803	0.49952	0.83752	0.843101	
3.28755 0.326961	0.327387	0.502498	0.502199	0.830313	0.835839	
3.29771 0.32101	0.321415	0.50351	0.503195	0.812291	0.817688	
3.30787 0.322466	0.32286	0.498436	0.49811	0.807144	0.812498	
3.31804 0.329033	0.329422	0.486226	0.485894	0.794371	0.79963	
3.3282 0.324556	0.324926	0.4961	0.495745	0.790709	0.795934	
3.33836 0.325359	0.325717	0.484755	0.484394	0.798182	0.803447	
3.34852 0.327367	0.327714	0.487097	0.486719	0.794299	0.79953	
3.35869 0.329503	0.329839	0.483548	0.483157	0.770775	0.77584	
3.36885 0.32432	0.324637	0.490806	0.490394	0.770221	0.775272	
3.37901 0.341863	0.342183	0.488249	0.487824	0.774976	0.780047	
3.38917 0.3408	0.341105	0.487009	0.486569	0.774946	0.780006	
3.39933 0.345408	0.345703	0.493756	0.493294	0.76378	0.768756	
3.4095 0.345553	0.345834	0.489921	0.489448	0.76947	0.774472	
3.41966 0.356528	0.356803	0.49055	0.49006	0.76928	0.774269	
3.42982 0.361752	0.362017	0.497485	0.496972	0.758405	0.763313	
3.43998 0.366658	0.366911	0.498171	0.497641	0.763937	0.768869	
3.45015 0.352704	0.352933	0.495815	0.495272	0.760393	0.765291	
3.46031 0.376327	0.376556	0.503069	0.502502	0.763188	0.768093	
3.47047 0.375114	0.375327	0.505092	0.504506	0.772855	0.777809	
3.48063 0.376512	0.376711	0.504947	0.504344	0.762945	0.767825	
3.4908 0.387653	0.387842	0.514633	0.514003	0.772377	0.777306	
3.50096 0.388707	0.388881	0.516674	0.516025	0.780085	0.785051	
3.51112 0.396162	0.396323	0.520373	0.519702	0.770218	0.77511	
3.52128 0.405683	0.405832	0.522292	0.521602	0.772881	0.777778	
3.53145 0.40588	0.406013	0.537254	0.536527	0.780128	0.78506	
3.54161 0.414797	0.414916	0.534839	0.534099	0.761806	0.76661	
3.55177 0.415351	0.415454	0.542843	0.542075	0.77231	0.777169	
3.56193 0.430243	0.430332	0.541837	0.541053	0.77213	0.776976	
3.5721 0.433488	0.433561	0.551046	0.550232	0.783971	0.788879	
3.58226 0.443273	0.44333	0.558241	0.557399	0.78973	0.794663	
